date,industrial_index,year,month
2024-02-19,78333.0,2024,2
2024-02-20,81582.5,2024,2
2024-02-21,83398.5,2024,2
2024-02-22,80628.5,2024,2
2024-02-23,79178.5,2024,2
2024-02-26,55139.0,2024,2
2024-02-27,63149.5,2024,2
2024-02-28,70098.5,2024,2
2024-02-29,65435.5,2024,2
2024-03-01,72482.0,2024,3
2024-03-04,82231.5,2024,3
2024-03-05,102170.0,2024,3
2024-03-06,106090.0,2024,3
2024-03-07,101305.0,2024,3
2024-03-08,97758.0,2024,3
2024-03-11,94795.5,2024,3
2024-03-12,114982.0,2024,3
2024-03-13,105735.0,2024,3
2024-03-14,95533.0,2024,3
2024-03-15,85261.0,2024,3
2024-03-18,108384.0,2024,3
2024-03-19,112283.0,2024,3
2024-03-20,93959.0,2024,3
2024-03-21,101019.0,2024,3
2024-03-22,97275.0,2024,3
2024-03-25,98852.0,2024,3
2024-03-26,78592.0,2024,3
2024-03-27,65582.0,2024,3
2024-03-28,66819.0,2024,3
2024-03-29,43018.0,2024,3
2024-04-01,0.0,2024,4
2024-04-02,51108.5,2024,4
2024-04-03,97466.0,2024,4
2024-04-04,61279.0,2024,4
2024-04-05,54147.0,2024,4
2024-04-08,49452.5,2024,4
2024-04-09,45430.0,2024,4
2024-04-10,65227.0,2024,4
2024-04-11,64171.0,2024,4
2024-04-12,64571.0,2024,4
2024-04-15,71571.5,2024,4
2024-04-16,74323.0,2024,4
2024-04-17,78970.0,2024,4
2024-04-18,79039.0,2024,4
2024-04-19,81150.0,2024,4
2024-04-22,95089.0,2024,4
2024-04-23,91972.0,2024,4
2024-04-24,100522.0,2024,4
2024-04-25,98466.0,2024,4
2024-04-26,77936.0,2024,4
2024-04-29,40596.5,2024,4
2024-04-30,43643.0,2024,4
2024-05-01,1426.5,2024,5
2024-05-02,3571.5,2024,5
2024-05-03,0.0,2024,5
2024-05-06,79046.5,2024,5
2024-05-07,92096.0,2024,5
2024-05-08,83864.0,2024,5
2024-05-09,77916.0,2024,5
2024-05-10,82747.0,2024,5
2024-05-13,68736.0,2024,5
2024-05-14,76681.0,2024,5
2024-05-15,71180.0,2024,5
2024-05-16,68044.0,2024,5
2024-05-17,68777.0,2024,5
2024-05-20,78950.0,2024,5
2024-05-21,89653.0,2024,5
2024-05-22,91909.0,2024,5
2024-05-23,90867.0,2024,5
2024-05-24,92502.0,2024,5
2024-05-27,85778.0,2024,5
2024-05-28,94520.0,2024,5
2024-05-29,93035.0,2024,5
2024-05-30,3682.0,2024,5
2024-05-31,41044.0,2024,5
2024-06-03,82575.5,2024,6
2024-06-04,99959.5,2024,6
2024-06-05,92445.5,2024,6
2024-06-06,93707.5,2024,6
2024-06-07,81267.5,2024,6
2024-06-10,83831.5,2024,6
2024-06-11,79711.5,2024,6
2024-06-12,85234.5,2024,6
